,open,high,low,close,adj close,volume
2019-09-25,218.55,221.5,217.14,221.03,53.8167735256227,22481006.0
2019-09-26,220.0,220.94,218.83,219.89,53.5392043186408,19088312.0
2019-09-27,220.54,220.96,217.28,218.82,53.2786788348946,25361285.0
2019-09-30,220.9,224.58,220.79,223.97,54.5326099015234,26318583.0
2019-10-01,225.07,228.22,224.2,224.59,54.6835685930399,36187163.0
2019-10-02,223.06,223.58,217.93,218.96,53.3127662813661,35767257.0
2019-10-03,218.43,220.96,215.13,220.82,53.7656423559155,30352686.0
2019-10-04,225.64,227.49,223.89,227.01,55.2727944534751,34755553.0
2019-10-07,226.27,229.93,225.84,227.06,55.2849685415006,30889269.0
2019-10-08,225.82,228.06,224.33,224.4,54.6373070585429,29282700.0
2019-10-09,227.03,227.79,225.64,227.03,55.2776640886853,19029424.0
2019-10-10,227.93,230.44,227.3,230.09,56.0227182758473,28962984.0
2019-10-11,232.95,237.64,232.31,236.21,57.5128266501712,41990210.0
2019-10-14,234.9,238.13,234.67,235.87,57.4300428515976,24413484.0
2019-10-15,236.39,237.65,234.88,235.32,57.2961278833169,23040483.0
2019-10-16,233.37,235.24,233.2,234.37,57.064820210832,19286694.0
2019-10-17,235.09,236.15,233.52,235.28,57.2863886128965,17272897.0
2019-10-18,234.59,237.58,234.29,236.41,57.5615230022733,24248023.0
2019-10-21,237.52,240.99,237.32,240.51,58.5597982203661,21811567.0
2019-10-22,241.16,242.2,239.62,239.96,58.4258832520853,22684001.0
2019-10-23,242.1,243.24,241.22,243.18,59.2098945209289,19932545.0
2019-10-24,244.51,244.8,241.81,243.58,59.3072872251331,17916255.0
2019-10-25,243.16,246.73,242.88,246.58,60.0377325066644,18369296.0
2019-10-28,247.42,249.25,246.72,249.05,60.6391324551252,23655368.0
2019-10-29,248.97,249.75,242.57,243.29,59.2366775145851,35709867.0
2019-10-30,244.76,245.3,241.21,243.26,59.2293730617698,31130522.0
2019-10-31,247.24,249.17,237.26,248.76,60.5685227445772,34790520.0
2019-11-01,249.54,255.93,249.16,255.82,62.2875039737809,37781334.0
2019-11-04,257.33,257.85,255.38,257.5,62.6965533314385,25817952.0
2019-11-05,257.05,258.19,256.32,257.13,62.6064650800496,19974427.0
2019-11-06,256.77,257.49,255.37,257.24,62.6332480737057,18966124.0
2019-11-07,258.74,260.35,258.11,259.43,63.3539540848166,23735083.0
2019-11-08,258.69,260.44,256.85,260.14,63.5273392268596,17520495.0
2019-11-11,258.3,262.47,258.28,262.2,64.0304003432098,20507459.0
2019-11-12,261.55,262.79,260.92,261.96,63.9717912811108,21847226.0
2019-11-13,261.13,264.78,261.07,264.47,64.5847443888967,25817593.0
2019-11-14,263.75,264.88,262.1,262.64,64.1378502903914,22395556.0
2019-11-15,263.68,265.78,263.01,265.76,64.899768097679,25093666.0
2019-11-18,265.8,267.43,264.23,267.1,65.227002027732,21700897.0
2019-11-19,267.9,268.0,265.39,266.29,65.0291964431478,19069597.0
2019-11-20,265.54,266.08,260.4,263.19,64.2721627243684,26609919.0
2019-11-21,263.69,264.01,261.18,262.01,63.9840015023814,30348778.0
2019-11-22,262.59,263.18,260.84,261.78,63.9278344845365,16331263.0
2019-11-25,262.71,266.44,262.52,266.37,65.0487327971808,21029517.0
2019-11-26,266.94,267.16,262.5,264.29,64.5407875923224,26334882.0
2019-11-27,265.58,267.98,265.31,267.84,65.4077133025374,16386122.0
2019-11-29,266.6,268.0,265.9,267.25,65.2636326915439,11654363.0
2019-12-02,267.27,268.25,263.45,264.16,64.5090410170187,23693550.0
